상호명,시군구명,위도,경도,is_starbucks,projected_cluster
하늘정원,강남구,37.48591927,127.0995341,0,2
더런드렛,관악구,37.46553499,126.9196076,0,4
밀로커피로스터스,마포구,37.55705455,126.9266281,0,3
메머드커피익스프레스삼성타운점,서초구,37.49605879,127.0252403,0,3
카페틈이있는곳,마포구,37.54818567,126.9218501,0,1
커피앤스쿱,마포구,37.56506616,126.9039488,0,2
책방늘봄,강동구,37.52809781,127.1252937,0,2
뜨랑블랑,마포구,37.53742289,126.9452712,0,2
씨유빈,서초구,37.49105161,126.9918811,0,2
빽다방,광진구,37.53662111,127.0850058,0,1
스튜디오봉봉,서초구,37.50399841,127.0149173,0,2
오에이치유베이커리,노원구,37.62217617,127.0766755,0,1
만랩커피오금역점,송파구,37.5023921,127.1253751,0,2
콰이어커피,서초구,37.48691592,127.0089777,0,4
커피송,은평구,37.61870787,126.9240983,0,1
코페아신드롬,마포구,37.56492456,126.9071521,0,2
소격동60,종로구,37.58059181,126.9810031,0,4
롱앤쇼트,서대문구,37.58309039,126.9371882,0,4
공릉꿈마을협동조합,노원구,37.61850771,127.0788578,0,1
온유,성동구,37.54879295,127.0559027,0,2
커피방앗간,중구,37.55961361,126.9672232,0,2
공차숭례문점,중구,37.55852516,126.9742973,0,3
술,강남구,37.5192688,127.0246825,0,1
파라티,용산구,37.52373425,126.9620464,0,4
살리다,마포구,37.55494099,126.9329905,0,1
빽다방잠실역지하도점,송파구,37.51313493,127.0930551,0,4
윤경양품,종로구,37.58072455,126.9695461,0,4
카페크렘므,영등포구,37.53892918,126.8945231,0,2
카페마빈,광진구,37.54275183,127.0645884,0,1
도담테크,구로구,37.48395855,126.8941029,0,1
당고집,마포구,37.54722891,126.9193276,0,1
메가엠지씨커피애오개점,마포구,37.55538316,126.9530784,0,2
푸쿠푸쿠,도봉구,37.65040784,127.0269922,0,4
몽슈슈,강남구,37.50972196,127.0429005,0,0
에그허그,광진구,37.54604901,127.1032803,0,2
산중다원,은평구,37.65306377,126.9423874,0,4
대림착한커피,영등포구,37.48856757,126.8996822,0,2
망원지튼,마포구,37.5575167,126.9050563,0,1
콘웰,마포구,37.55525761,126.9081035,0,1
만화카페통툰,영등포구,37.51787436,126.9071426,0,1
클래식,구로구,37.48907506,126.824895,0,2
멜로우커피랩,관악구,37.48384375,126.9536545,0,1
카페153,중랑구,37.58302644,127.0792619,0,4
원모어,강남구,37.50052687,127.0291999,0,3
오뉴커피,강남구,37.5080859,127.0554764,0,1
폴스카페협동조합,은평구,37.58261106,126.9071189,0,2
숏컷익스프레스,종로구,37.57070019,127.0073238,0,1
투영프로젝숀,성북구,37.61891247,126.9989806,0,4
블랙모티브,동작구,37.47884144,126.97948,0,1
위버커피,관악구,37.4825641,126.9531013,0,1
비밀의정원,성동구,37.5484188,127.0460233,0,1
이디야응암,은평구,37.59090764,126.9171291,0,2
카페다커피독립문,종로구,37.57545921,126.9580128,0,2
왕관커피숍,종로구,37.57076346,127.0023545,0,1
이디야구로,구로구,37.50312042,126.8501388,0,4
커피소,종로구,37.57022277,126.9947477,0,3
쥬씨차얌,관악구,37.487047,126.9138067,0,2
가야스넥코너,종로구,37.5723492,126.9970795,0,1
따시하루,광진구,37.53865352,127.0901902,0,1
보티,종로구,37.57717779,126.9864266,0,1
식물,종로구,37.57377235,126.9896534,0,3
하루,노원구,37.6763639,127.0560322,0,2
쿠즈코커피,동작구,37.49464241,126.9270624,0,2
램미커피,서대문구,37.56109027,126.963861,0,2
커피빵앗간,도봉구,37.6576215,127.0385543,0,4
동그라미,양천구,37.53648233,126.8286424,0,4
제이,서초구,37.49420396,127.0185226,0,1
카페베네을지로PJ호텔점,중구,37.56490693,126.9956762,0,1
카페어니스티,마포구,37.55038026,126.9162461,0,3
온기,은평구,37.60262346,126.9214194,0,2
카페프리헷,성북구,37.59783396,127.0321255,0,4
에이셉커피,용산구,37.52769166,126.9689228,0,1
야한생두,성동구,37.54138972,127.0492212,0,2
인샤인카페,금천구,37.47817121,126.8815957,0,1
홍대in파스타,마포구,37.55348304,126.9211089,0,3
카페아크CAFEARK,강서구,37.53753958,126.8438582,0,4
오커피,강남구,37.4869229,127.0518539,0,2
피유,종로구,37.57874263,126.9705884,0,1
킴메이드,강북구,37.6456172,127.0108211,0,4
착한커피,마포구,37.55441912,126.9342585,0,1
비쥬,강서구,37.55194254,126.8343107,0,2
더블코드,강서구,37.56388601,126.8080477,0,2
앙트레,마포구,37.54285002,126.9524639,0,1
톤티,종로구,37.57764629,126.986302,0,1
핀,서초구,37.49560196,126.9982472,0,4
별와플,영등포구,37.50051856,126.9158947,0,2
